team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2022,VGK,VGK,Team Level,other,60,0.45,0.47,0.47,7630.0,102.3,19.92,7.88,18.76,3.54,57.54,34.35,19.08,19.92,19.08,109.0,33.0,55.0,197.0,22.0,12.0,3.0,15.0,4.0,47.0,42.0,87.0,120.0,5.0,10.0,99.0,35.0,28.0,14.0,87.0,28.0,27.0,3.11,3.6,13.21,5.0,6.0,11.0,197.0,142.0,142.0,6.0,2.17,2.94,2.94,19.15,19.15,18.58,112.44,24.12,8.45,19.55,3.76,63.85,37.26,23.59,24.12,23.59,111.0,46.0,64.0,221.0,21.0,8.0,0.0,27.0,2.0,60.0,39.0,90.0,136.0,2.0,2.0,85.0,24.0,19.0,16.0,92.0,33.0,32.0,3.72,3.91,16.49,5.0,3.0,13.0,221.0,157.0,157.0,6.0,2.4,2.03,2.03,24.48,24.48,23.97
VGK,2022,VGK,VGK,Team Level,all,60,0.54,0.5,0.51,219157.0,1929.7,195.07,137.48,446.27,64.14,1060.25,760.86,186.78,196.8,188.5,1965.0,700.0,931.0,3596.0,189.0,167.0,31.0,393.0,70.0,847.0,999.0,1776.0,2476.0,171.0,383.0,1823.0,1466.0,540.0,389.0,1895.0,561.0,209.0,55.36,70.09,69.63,61.0,69.0,59.0,3628.05,2665.0,2684.25,184.0,30.22,37.15,37.24,187.99,189.56,185.01,1829.73,166.53,125.23,428.27,60.18,1023.18,739.62,160.68,166.19,160.35,1825.0,718.0,1062.0,3605.0,166.0,145.0,23.0,415.0,68.0,833.0,916.0,1659.0,2377.0,181.0,393.0,1637.0,1707.0,516.0,511.0,1932.0,454.0,157.0,54.72,54.7,57.11,51.0,61.0,54.0,3592.58,2543.0,2542.76,240.0,27.47,27.24,27.79,166.22,166.0,162.3
VGK,2022,VGK,VGK,Team Level,5on5,60,0.54,0.5,0.51,183515.0,1532.27,138.03,104.24,368.15,50.92,833.4,622.32,132.46,139.75,134.18,1549.0,569.0,773.0,2891.0,131.0,125.0,22.0,323.0,56.0,665.0,818.0,1418.0,1987.0,152.0,345.0,1435.0,1367.0,464.0,332.0,1542.0,444.0,132.0,45.13,55.19,37.71,52.0,52.0,27.0,2923.05,2118.0,2137.25,166.0,21.62,27.02,27.11,132.48,134.06,131.64,1481.02,115.51,96.93,360.81,48.7,825.48,612.58,111.93,115.16,111.6,1462.0,598.0,867.0,2927.0,119.0,116.0,18.0,346.0,58.0,655.0,766.0,1343.0,1941.0,169.0,371.0,1307.0,1626.0,433.0,452.0,1605.0,367.0,88.0,45.73,44.38,25.4,45.0,53.0,21.0,2914.58,2060.0,2059.76,223.0,19.96,21.08,21.77,113.7,113.48,111.69
VGK,2022,VGK,VGK,Team Level,4on5,60,0.19,0.12,0.14,12875.0,36.04,5.37,2.24,4.74,1.08,10.84,21.74,5.28,5.37,5.28,40.0,6.0,6.0,52.0,7.0,2.0,1.0,2.0,0.0,9.0,26.0,33.0,39.0,7.0,14.0,106.0,39.0,38.0,14.0,21.0,16.0,9.0,0.65,2.21,2.5,0.0,4.0,3.0,52.0,46.0,46.0,10.0,0.51,0.48,0.48,5.39,5.39,5.34,198.44,23.0,17.98,42.14,6.41,121.57,62.91,21.33,23.0,21.33,206.0,68.0,119.0,393.0,24.0,18.0,3.0,37.0,7.0,112.0,76.0,182.0,250.0,7.0,14.0,123.0,13.0,21.0,33.0,198.0,45.0,31.0,4.33,5.24,13.43,1.0,5.0,18.0,393.0,274.0,274.0,2.0,4.67,3.14,3.0,24.66,24.66,23.28
VGK,2022,VGK,VGK,Team Level,5on4,60,0.89,0.88,0.87,15137.0,259.1,31.76,23.11,54.63,8.59,158.48,82.44,29.96,31.76,29.96,267.0,92.0,97.0,456.0,29.0,28.0,5.0,53.0,10.0,126.0,113.0,238.0,330.0,7.0,14.0,183.0,25.0,10.0,29.0,245.0,73.0,41.0,6.45,9.09,16.22,4.0,7.0,18.0,456.0,359.0,359.0,2.0,5.91,6.7,6.7,30.96,30.96,29.44,37.83,3.91,1.88,5.76,1.3,12.27,26.88,3.83,3.91,3.83,46.0,6.0,12.0,64.0,2.0,3.0,2.0,5.0,1.0,6.0,35.0,44.0,50.0,3.0,6.0,122.0,44.0,43.0,10.0,37.0,9.0,6.0,0.95,1.18,1.78,0.0,0.0,2.0,64.0,52.0,52.0,9.0,0.44,0.99,0.99,3.36,3.36,3.35
VAN,2022,VAN,VAN,Team Level,other,60,0.49,0.53,0.52,6698.0,111.63,22.17,8.4,20.43,3.83,62.9,36.26,20.43,22.17,20.43,100.0,54.0,54.0,208.0,24.0,9.0,2.0,13.0,3.0,56.0,49.0,76.0,130.0,4.0,8.0,79.0,17.0,17.0,17.0,83.0,40.0,31.0,3.08,4.8,14.29,4.0,6.0,14.0,208.0,154.0,154.0,5.0,2.46,2.92,2.92,21.71,21.71,20.41,99.58,23.44,6.97,16.6,3.25,55.08,34.65,21.79,23.44,21.79,97.0,43.0,47.0,187.0,26.0,4.0,2.0,17.0,8.0,44.0,41.0,71.0,114.0,2.0,7.0,83.0,22.0,15.0,14.0,73.0,42.0,25.0,3.0,5.43,15.01,2.0,10.0,14.0,187.0,140.0,140.0,7.0,1.95,1.49,1.49,23.9,23.9,22.28
VAN,2022,VAN,VAN,Team Level,all,60,0.47,0.5,0.49,219073.0,1796.54,178.88,131.48,412.04,60.51,1027.2,710.89,171.07,178.24,170.45,1840.0,681.0,840.0,3361.0,201.0,175.0,33.0,393.0,72.0,773.0,907.0,1639.0,2320.0,206.0,495.0,1686.0,1439.0,396.0,432.0,1838.0,495.0,188.0,52.2,60.48,66.19,54.0,79.0,68.0,3325.25,2521.0,2496.16,241.0,29.46,36.81,36.99,171.34,170.66,166.36,1876.63,200.12,134.99,426.29,62.18,1027.34,742.08,190.65,201.96,192.45,1873.0,720.0,825.0,3418.0,238.0,189.0,33.0,361.0,79.0,843.0,883.0,1635.0,2355.0,230.0,537.0,1730.0,1154.0,380.0,485.0,1802.0,570.0,221.0,55.52,70.59,74.01,84.0,76.0,78.0,3476.98,2593.0,2634.77,274.0,29.85,40.34,40.41,189.56,191.45,186.0
VAN,2022,VAN,VAN,Team Level,5on5,60,0.46,0.48,0.48,178668.0,1354.79,116.75,93.25,324.63,45.36,764.08,555.93,112.46,116.13,111.83,1421.0,479.0,636.0,2536.0,131.0,131.0,28.0,330.0,56.0,554.0,698.0,1290.0,1769.0,186.0,455.0,1279.0,1365.0,337.0,362.0,1425.0,366.0,109.0,41.47,44.95,30.33,46.0,56.0,29.0,2500.25,1900.0,1875.16,221.0,19.26,26.81,27.2,108.82,108.14,106.58,1477.68,136.08,102.25,351.76,49.12,810.59,595.2,130.38,137.92,132.17,1480.0,565.0,674.0,2719.0,155.0,154.0,23.0,310.0,62.0,671.0,693.0,1325.0,1890.0,215.0,504.0,1369.0,1079.0,315.0,411.0,1485.0,413.0,147.0,45.34,51.54,39.21,72.0,50.0,33.0,2777.98,2045.0,2086.77,244.0,21.27,30.77,31.17,126.19,128.07,125.67
VAN,2022,VAN,VAN,Team Level,4on5,60,0.1,0.09,0.1,14974.0,30.95,3.75,1.78,4.59,0.96,9.13,18.79,3.69,3.75,3.69,34.0,5.0,6.0,45.0,3.0,2.0,0.0,2.0,0.0,2.0,30.0,31.0,36.0,7.0,14.0,125.0,46.0,29.0,15.0,24.0,8.0,7.0,0.96,1.16,1.64,2.0,0.0,1.0,45.0,39.0,39.0,14.0,0.4,0.29,0.29,3.86,3.86,3.82,247.92,34.75,22.93,51.3,8.34,146.17,77.51,32.66,34.75,32.66,240.0,101.0,97.0,438.0,48.0,31.0,8.0,32.0,9.0,119.0,102.0,192.0,293.0,10.0,20.0,161.0,11.0,12.0,37.0,205.0,96.0,40.0,6.07,11.2,17.48,9.0,13.0,26.0,438.0,341.0,341.0,3.0,5.96,8.08,7.74,32.97,32.97,31.57
VAN,2022,VAN,VAN,Team Level,5on4,60,0.86,0.89,0.86,18733.0,299.17,36.19,28.04,62.4,10.35,191.09,99.92,34.5,36.19,34.5,285.0,143.0,144.0,572.0,43.0,33.0,3.0,48.0,13.0,161.0,130.0,242.0,385.0,9.0,18.0,203.0,11.0,13.0,38.0,306.0,81.0,41.0,6.69,9.56,19.93,2.0,17.0,24.0,572.0,428.0,428.0,1.0,7.33,6.79,6.57,36.96,36.96,35.55,51.45,5.85,2.83,6.64,1.46,15.5,34.71,5.82,5.85,5.82,56.0,11.0,7.0,74.0,9.0,0.0,0.0,2.0,0.0,9.0,47.0,47.0,58.0,3.0,6.0,117.0,42.0,38.0,23.0,39.0,19.0,9.0,1.12,2.43,2.31,1.0,3.0,5.0,74.0,67.0,67.0,20.0,0.66,0.0,0.0,6.51,6.51,6.47
ANA,2022,ANA,ANA,Team Level,other,61,0.45,0.46,0.46,7129.0,101.53,18.44,7.56,18.28,3.34,53.56,35.81,17.09,18.44,17.09,106.0,31.0,41.0,178.0,22.0,10.0,3.0,17.0,2.0,47.0,39.0,84.0,115.0,7.0,14.0,102.0,16.0,24.0,16.0,74.0,38.0,25.0,2.71,4.54,11.19,2.0,9.0,11.0,178.0,137.0,137.0,7.0,2.18,3.33,3.88,16.74,16.74,16.01,122.25,22.7,9.01,22.08,4.02,62.28,43.91,20.94,22.7,20.94,119.0,45.0,48.0,212.0,18.0,10.0,2.0,20.0,4.0,61.0,51.0,101.0,146.0,11.0,22.0,91.0,15.0,18.0,20.0,85.0,53.0,26.0,3.29,7.41,11.99,3.0,4.0,11.0,212.0,164.0,164.0,8.0,2.5,2.97,3.3,21.89,21.89,20.68
ANA,2022,ANA,ANA,Team Level,all,61,0.4,0.44,0.43,222882.0,1775.15,160.77,122.06,405.33,58.1,961.63,725.12,153.89,159.53,152.72,1780.0,653.0,807.0,3240.0,153.0,165.0,26.0,363.0,45.0,800.0,908.0,1627.0,2280.0,269.0,610.0,1656.0,1037.0,354.0,489.0,1778.0,511.0,144.0,50.06,61.96,48.74,52.0,55.0,46.0,3170.95,2433.0,2395.23,274.0,27.1,33.14,33.17,154.7,153.34,149.63,2367.69,242.93,171.57,534.63,78.67,1318.58,933.62,231.06,246.4,234.36,2417.0,863.0,910.0,4190.0,249.0,261.0,24.0,465.0,78.0,1084.0,1143.0,2168.0,3031.0,231.0,538.0,1932.0,1133.0,425.0,520.0,2298.0,731.0,251.0,70.55,90.64,81.73,79.0,97.0,73.0,4310.6,3280.0,3355.44,247.0,37.94,51.52,51.57,229.29,232.41,225.88
ANA,2022,ANA,ANA,Team Level,5on5,61,0.4,0.43,0.42,180327.0,1355.59,110.91,87.3,322.52,44.19,726.96,566.11,106.83,109.68,105.66,1363.0,495.0,633.0,2491.0,104.0,124.0,18.0,296.0,38.0,585.0,712.0,1259.0,1754.0,235.0,539.0,1237.0,977.0,287.0,411.0,1393.0,374.0,91.0,39.61,46.12,25.18,48.0,37.0,19.0,2421.95,1858.0,1820.23,242.0,18.05,23.61,23.44,105.52,104.16,102.46,1851.7,168.6,128.28,435.37,61.65,1033.23,752.87,161.3,172.08,164.6,1907.0,673.0,743.0,3323.0,172.0,204.0,18.0,374.0,64.0,836.0,930.0,1735.0,2408.0,200.0,475.0,1498.0,1064.0,361.0,436.0,1874.0,545.0,161.0,57.71,67.29,43.6,65.0,76.0,31.0,3443.6,2580.0,2655.44,217.0,26.55,40.14,40.18,154.97,158.09,154.67
ANA,2022,ANA,ANA,Team Level,4on5,61,0.07,0.1,0.11,18590.0,46.21,3.56,2.01,6.73,1.35,14.03,33.32,3.52,3.56,3.52,50.0,11.0,8.0,69.0,0.0,0.0,0.0,2.0,1.0,12.0,46.0,50.0,61.0,11.0,25.0,161.0,30.0,32.0,23.0,44.0,14.0,3.0,1.08,1.72,0.77,0.0,0.0,0.0,69.0,61.0,61.0,21.0,0.47,0.0,0.0,4.03,4.03,3.99,353.04,46.79,32.03,71.67,11.72,210.41,109.38,44.05,46.79,44.05,350.0,132.0,112.0,594.0,55.0,44.0,4.0,68.0,10.0,174.0,131.0,295.0,427.0,13.0,27.0,207.0,12.0,11.0,38.0,306.0,120.0,56.0,8.71,14.37,23.71,11.0,15.0,29.0,594.0,482.0,482.0,0.0,8.37,8.03,7.7,47.47,47.47,45.6
ANA,2022,ANA,ANA,Team Level,5on4,61,0.85,0.89,0.87,16836.0,271.83,27.86,25.18,57.79,9.22,167.08,89.88,26.45,27.86,26.45,261.0,116.0,125.0,502.0,27.0,31.0,5.0,48.0,4.0,156.0,111.0,234.0,350.0,16.0,32.0,156.0,14.0,11.0,39.0,267.0,85.0,25.0,6.67,9.58,11.61,2.0,9.0,16.0,502.0,377.0,377.0,4.0,6.41,6.19,5.85,28.42,28.42,27.17,40.7,4.83,2.25,5.52,1.27,12.66,27.47,4.77,4.83,4.77,41.0,13.0,7.0,61.0,4.0,3.0,0.0,3.0,0.0,13.0,31.0,37.0,50.0,7.0,14.0,136.0,42.0,35.0,26.0,33.0,13.0,8.0,0.83,1.57,2.42,0.0,2.0,2.0,61.0,54.0,54.0,22.0,0.52,0.39,0.39,4.95,4.95,4.95
CAR,2022,CAR,CAR,Team Level,other,58,0.52,0.56,0.56,6557.0,112.63,24.86,7.96,20.53,3.7,59.31,38.64,22.95,24.86,22.95,107.0,48.0,55.0,210.0,24.0,6.0,2.0,16.0,3.0,61.0,45.0,83.0,131.0,5.0,10.0,89.0,20.0,18.0,16.0,73.0,49.0,33.0,2.83,6.45,15.58,6.0,7.0,11.0,210.0,155.0,155.0,9.0,2.27,1.62,1.95,25.18,25.18,23.62,93.45,22.71,6.68,16.38,2.94,45.96,29.33,20.54,22.71,20.54,95.0,29.0,38.0,162.0,23.0,11.0,2.0,11.0,5.0,35.0,39.0,72.0,101.0,7.0,14.0,85.0,24.0,22.0,14.0,59.0,35.0,30.0,2.59,4.34,15.78,2.0,10.0,11.0,162.0,124.0,124.0,4.0,1.95,5.13,5.13,19.54,19.54,19.14
CAR,2022,CAR,CAR,Team Level,all,58,0.59,0.6,0.59,212145.0,2138.3,215.36,154.12,518.98,73.24,1191.48,843.82,203.55,217.99,206.04,2040.0,957.0,965.0,3962.0,195.0,259.0,36.0,461.0,73.0,1093.0,916.0,1845.0,2802.0,217.0,447.0,1898.0,1004.0,547.0,499.0,2171.0,588.0,238.0,62.4,71.95,81.02,72.0,63.0,60.0,4053.0,2997.0,3050.95,218.0,34.25,50.11,50.12,199.5,201.71,194.84,1524.47,151.8,108.32,345.68,49.88,826.07,611.24,143.23,150.48,141.98,1533.0,560.0,602.0,2695.0,149.0,142.0,16.0,290.0,46.0,669.0,797.0,1384.0,1944.0,206.0,426.0,1678.0,1342.0,430.0,512.0,1491.0,453.0,149.0,41.95,55.19,54.66,49.0,64.0,36.0,2641.96,2093.0,2061.92,264.0,24.32,31.73,31.77,144.35,143.18,139.66
CAR,2022,CAR,CAR,Team Level,5on5,58,0.61,0.6,0.59,168761.0,1648.65,146.7,114.48,418.25,56.91,919.76,661.9,139.44,149.32,141.92,1577.0,741.0,770.0,3088.0,129.0,213.0,29.0,380.0,57.0,831.0,708.0,1448.0,2189.0,189.0,391.0,1455.0,924.0,447.0,401.0,1729.0,438.0,151.0,49.64,53.72,43.34,55.0,44.0,30.0,3179.0,2318.0,2371.95,186.0,23.78,40.15,40.38,130.1,132.32,129.11,1148.15,95.16,76.33,272.79,37.2,623.33,473.2,92.14,93.83,90.89,1140.0,438.0,478.0,2056.0,91.0,92.0,5.0,237.0,35.0,513.0,610.0,1049.0,1487.0,175.0,364.0,1292.0,1232.0,334.0,432.0,1164.0,333.0,81.0,32.57,40.88,21.7,42.0,42.0,7.0,2002.96,1578.0,1546.92,245.0,15.82,17.97,18.14,92.83,91.66,90.32
CAR,2022,CAR,CAR,Team Level,4on5,58,0.17,0.19,0.21,18626.0,62.4,5.93,3.4,9.07,2.0,20.56,44.05,5.89,5.93,5.89,67.0,18.0,10.0,95.0,9.0,1.0,0.0,12.0,1.0,18.0,44.0,58.0,76.0,6.0,12.0,160.0,38.0,70.0,23.0,56.0,22.0,7.0,1.38,2.73,1.82,3.0,3.0,3.0,95.0,85.0,85.0,20.0,0.79,0.07,0.07,6.65,6.65,6.62,235.58,29.64,22.88,50.03,8.24,141.26,74.95,26.33,29.64,26.33,246.0,81.0,77.0,404.0,31.0,37.0,8.0,36.0,3.0,112.0,108.0,215.0,296.0,12.0,24.0,162.0,28.0,25.0,52.0,222.0,72.0,33.0,5.39,8.47,15.78,5.0,9.0,17.0,404.0,327.0,327.0,2.0,6.0,8.03,7.89,27.75,27.75,26.0
CAR,2022,CAR,CAR,Team Level,5on4,58,0.9,0.89,0.87,18201.0,314.63,37.88,28.28,71.13,10.63,191.85,99.23,35.27,37.88,35.27,289.0,150.0,130.0,569.0,33.0,39.0,5.0,53.0,12.0,183.0,119.0,256.0,406.0,17.0,34.0,194.0,22.0,12.0,59.0,313.0,79.0,47.0,8.55,9.05,20.28,8.0,9.0,16.0,569.0,439.0,439.0,3.0,7.41,8.27,7.71,37.58,37.58,35.49,47.29,4.3,2.44,6.49,1.51,15.52,33.75,4.22,4.3,4.22,52.0,12.0,9.0,73.0,4.0,2.0,1.0,6.0,3.0,9.0,40.0,48.0,60.0,12.0,24.0,139.0,58.0,49.0,14.0,46.0,13.0,5.0,1.39,1.5,1.4,0.0,3.0,1.0,73.0,64.0,64.0,13.0,0.54,0.6,0.6,4.24,4.24,4.21
NJD,2022,NJD,NJD,Team Level,other,59,0.64,0.57,0.59,7509.0,122.11,32.16,8.54,20.0,3.94,64.56,39.79,28.95,32.16,28.95,120.0,49.0,53.0,222.0,31.0,10.0,4.0,16.0,7.0,60.0,45.0,89.0,138.0,4.0,8.0,88.0,23.0,22.0,13.0,67.0,56.0,46.0,2.74,6.74,22.68,4.0,11.0,16.0,222.0,169.0,169.0,4.0,2.45,3.43,3.43,31.19,31.19,29.37,86.96,18.44,6.59,15.46,2.92,48.31,27.27,17.69,18.44,17.69,80.0,39.0,49.0,168.0,19.0,10.0,2.0,6.0,1.0,49.0,34.0,61.0,100.0,9.0,18.0,82.0,31.0,18.0,17.0,62.0,31.0,26.0,2.38,3.69,12.37,4.0,4.0,11.0,168.0,119.0,119.0,5.0,1.97,2.41,2.41,18.01,18.01,17.59
NJD,2022,NJD,NJD,Team Level,all,59,0.55,0.53,0.54,214976.0,2036.39,209.69,136.45,473.81,67.94,1099.03,796.13,196.44,210.58,197.37,2023.0,761.0,972.0,3756.0,207.0,204.0,25.0,366.0,62.0,1002.0,943.0,1816.0,2577.0,203.0,444.0,1769.0,997.0,424.0,532.0,1964.0,607.0,213.0,58.74,75.79,75.16,65.0,86.0,56.0,3791.78,2784.0,2810.46,266.0,30.14,42.78,42.84,196.99,197.9,191.3,1736.1,170.54,118.69,404.59,59.06,955.38,701.74,163.98,170.87,164.31,1669.0,741.0,889.0,3299.0,155.0,181.0,24.0,286.0,44.0,859.0,885.0,1514.0,2255.0,198.0,438.0,1655.0,1327.0,400.0,501.0,1733.0,500.0,177.0,50.71,60.78,59.05,46.0,53.0,56.0,3285.09,2410.0,2406.69,238.0,26.23,36.03,36.09,160.68,160.68,157.43
NJD,2022,NJD,NJD,Team Level,5on5,59,0.55,0.54,0.54,175054.0,1627.53,140.87,103.53,397.97,54.26,872.39,652.05,134.65,141.75,135.57,1613.0,609.0,803.0,3025.0,142.0,157.0,15.0,304.0,50.0,776.0,793.0,1471.0,2080.0,184.0,406.0,1358.0,931.0,336.0,448.0,1645.0,452.0,125.0,49.51,56.59,34.77,57.0,63.0,22.0,3060.78,2222.0,2248.46,241.0,21.46,30.55,30.62,131.71,132.62,129.65,1352.9,116.89,87.43,330.87,46.39,743.02,559.4,113.2,117.22,113.53,1303.0,581.0,721.0,2605.0,101.0,136.0,19.0,243.0,38.0,657.0,709.0,1202.0,1783.0,167.0,376.0,1307.0,1226.0,334.0,430.0,1390.0,392.0,102.0,40.75,47.74,28.4,37.0,36.0,28.0,2591.09,1884.0,1880.69,217.0,18.08,26.27,26.37,108.59,108.59,107.15
NJD,2022,NJD,NJD,Team Level,4on5,59,0.11,0.12,0.13,17039.0,37.03,3.94,1.86,5.49,1.25,11.86,25.6,3.88,3.94,3.88,40.0,10.0,10.0,60.0,6.0,3.0,1.0,4.0,0.0,10.0,27.0,34.0,44.0,6.0,12.0,162.0,29.0,58.0,18.0,34.0,10.0,6.0,1.04,1.28,1.62,1.0,2.0,3.0,60.0,50.0,50.0,18.0,0.43,0.65,0.65,3.72,3.72,3.7,242.4,30.59,22.12,49.98,8.08,146.64,77.6,28.51,30.59,28.51,234.0,101.0,112.0,447.0,30.0,35.0,3.0,32.0,5.0,137.0,96.0,204.0,305.0,17.0,34.0,146.0,20.0,8.0,37.0,227.0,65.0,43.0,6.01,7.85,16.73,4.0,10.0,16.0,447.0,335.0,335.0,2.0,5.6,7.36,7.31,28.89,28.89,27.53
NJD,2022,NJD,NJD,Team Level,5on4,59,0.88,0.85,0.83,15374.0,249.71,32.73,22.51,50.36,8.49,150.22,78.68,28.97,32.73,28.97,250.0,93.0,106.0,449.0,28.0,34.0,5.0,42.0,5.0,156.0,78.0,222.0,315.0,9.0,18.0,161.0,14.0,8.0,53.0,218.0,89.0,36.0,5.45,11.18,16.1,3.0,10.0,15.0,449.0,343.0,343.0,3.0,5.8,8.15,8.15,30.38,30.38,28.57,53.83,4.62,2.55,8.29,1.67,17.41,37.46,4.59,4.62,4.59,52.0,20.0,7.0,79.0,5.0,0.0,0.0,5.0,0.0,16.0,46.0,47.0,67.0,5.0,10.0,120.0,50.0,40.0,17.0,54.0,12.0,6.0,1.57,1.5,1.55,1.0,3.0,1.0,79.0,72.0,72.0,14.0,0.58,0.0,0.0,5.2,5.2,5.17
NYI,2022,NYI,NYI,Team Level,other,63,0.46,0.49,0.49,7847.0,107.05,21.65,7.79,19.34,3.53,60.63,35.05,20.59,21.65,20.59,102.0,46.0,57.0,205.0,24.0,11.0,3.0,20.0,4.0,44.0,45.0,78.0,124.0,4.0,6.0,92.0,17.0,16.0,18.0,76.0,43.0,29.0,3.16,5.25,13.25,5.0,3.0,16.0,205.0,148.0,148.0,5.0,2.28,2.89,2.89,21.04,21.04,20.17,109.42,25.47,8.25,18.87,3.7,60.39,34.33,24.43,25.47,24.43,103.0,48.0,65.0,216.0,26.0,12.0,2.0,15.0,5.0,54.0,39.0,77.0,125.0,6.0,12.0,94.0,18.0,11.0,20.0,70.0,46.0,35.0,2.58,5.65,17.25,2.0,8.0,16.0,216.0,151.0,151.0,9.0,2.32,4.04,4.46,23.33,23.33,22.78
NYI,2022,NYI,NYI,Team Level,all,63,0.49,0.49,0.48,229222.0,1918.84,196.35,137.63,455.69,65.35,1067.99,747.99,185.73,196.31,185.74,1913.0,758.0,994.0,3665.0,183.0,219.0,24.0,396.0,47.0,905.0,921.0,1730.0,2488.0,221.0,488.0,1745.0,1689.0,418.0,619.0,1929.0,519.0,223.0,56.82,64.09,75.44,73.0,57.0,53.0,3667.78,2671.0,2672.6,308.0,30.42,46.29,46.3,180.47,180.41,174.88,2069.98,204.24,148.15,488.4,70.24,1132.36,814.62,193.91,205.09,194.72,1999.0,859.0,1028.0,3886.0,170.0,229.0,27.0,366.0,75.0,964.0,1054.0,1829.0,2688.0,217.0,481.0,1725.0,1377.0,388.0,682.0,2093.0,542.0,223.0,60.15,68.77,75.31,50.0,65.0,55.0,3898.16,2858.0,2868.28,355.0,32.84,49.07,49.07,188.01,188.33,183.42
NYI,2022,NYI,NYI,Team Level,5on5,63,0.49,0.49,0.48,185513.0,1507.87,136.18,103.93,373.26,51.71,828.43,604.49,130.07,136.14,130.09,1504.0,594.0,801.0,2899.0,131.0,173.0,16.0,317.0,38.0,708.0,731.0,1373.0,1967.0,197.0,434.0,1337.0,1609.0,356.0,520.0,1544.0,404.0,150.0,45.04,50.22,40.92,59.0,49.0,23.0,2901.78,2098.0,2099.6,280.0,21.58,32.93,32.95,124.82,124.76,122.22,1630.71,142.64,108.93,400.64,55.0,887.45,659.34,136.12,143.49,136.93,1554.0,700.0,806.0,3060.0,111.0,171.0,20.0,296.0,62.0,756.0,858.0,1443.0,2143.0,192.0,425.0,1321.0,1295.0,339.0,584.0,1701.0,407.0,146.0,49.11,51.8,41.74,41.0,43.0,27.0,3072.16,2254.0,2264.28,316.0,22.55,35.7,35.79,129.41,129.72,127.05
NYI,2022,NYI,NYI,Team Level,4on5,63,0.1,0.09,0.11,17918.0,33.84,3.6,1.83,4.88,1.15,11.11,23.43,3.51,3.6,3.51,39.0,7.0,9.0,55.0,2.0,3.0,0.0,4.0,0.0,10.0,27.0,37.0,44.0,11.0,27.0,141.0,41.0,31.0,22.0,33.0,8.0,5.0,1.05,1.03,1.52,1.0,0.0,1.0,55.0,46.0,46.0,18.0,0.42,0.5,0.5,3.51,3.51,3.48,283.09,32.29,28.46,61.4,9.86,168.44,87.55,29.63,32.29,29.63,285.0,103.0,149.0,537.0,28.0,45.0,5.0,51.0,7.0,142.0,115.0,257.0,360.0,13.0,29.0,172.0,15.0,12.0,49.0,274.0,74.0,40.0,7.18,9.26,15.84,6.0,11.0,11.0,537.0,388.0,388.0,6.0,7.39,9.24,8.74,30.94,30.94,29.36
