team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CHI,2022,CHI,CHI,Team Level,other,59,0.44,0.45,0.48,5813.0,93.37,18.9,6.96,16.34,3.05,50.38,30.35,16.96,18.9,16.96,94.0,32.0,29.0,155.0,18.0,12.0,3.0,20.0,4.0,40.0,32.0,76.0,108.0,5.0,12.0,95.0,21.0,14.0,14.0,70.0,34.0,22.0,2.25,4.42,12.24,2.0,9.0,7.0,155.0,126.0,126.0,6.0,1.96,4.82,4.82,16.05,16.05,15.28,99.89,23.73,7.33,16.87,3.39,53.18,32.51,21.23,23.73,21.23,91.0,46.0,51.0,188.0,17.0,8.0,0.0,9.0,6.0,49.0,48.0,74.0,120.0,5.0,10.0,70.0,9.0,17.0,9.0,67.0,35.0,35.0,2.57,4.03,17.12,1.0,2.0,14.0,188.0,137.0,137.0,4.0,2.17,3.13,2.29,23.6,23.6,22.0
CHI,2022,CHI,CHI,Team Level,all,59,0.43,0.44,0.44,214893.0,1591.68,155.0,109.55,368.99,52.27,867.18,634.01,148.76,153.45,147.23,1596.0,591.0,718.0,2905.0,147.0,136.0,23.0,333.0,44.0,682.0,845.0,1449.0,2040.0,201.0,472.0,1758.0,1407.0,526.0,570.0,1611.0,396.0,180.0,44.09,49.8,61.11,49.0,47.0,51.0,2844.92,2187.0,2151.6,322.0,24.27,30.86,30.91,148.37,146.81,143.48,2007.55,205.87,141.73,464.95,65.77,1087.34,789.35,196.6,209.16,199.81,1997.0,758.0,946.0,3701.0,211.0,195.0,35.0,355.0,60.0,907.0,1027.0,1786.0,2544.0,204.0,467.0,1472.0,1048.0,439.0,418.0,1960.0,558.0,237.0,56.86,69.02,79.99,74.0,64.0,73.0,3802.89,2755.0,2818.92,197.0,31.16,43.44,43.46,193.57,196.66,191.41
CHI,2022,CHI,CHI,Team Level,5on5,59,0.42,0.43,0.43,177158.0,1232.19,104.38,80.71,298.71,40.79,668.2,503.19,101.6,102.83,100.07,1221.0,475.0,583.0,2279.0,96.0,103.0,15.0,268.0,35.0,526.0,668.0,1125.0,1600.0,177.0,420.0,1335.0,1315.0,445.0,474.0,1278.0,304.0,114.0,34.53,38.08,31.78,40.0,31.0,25.0,2218.92,1696.0,1660.6,287.0,16.71,21.67,21.72,99.37,97.81,96.53,1626.52,146.0,110.68,392.38,53.34,883.78,649.82,140.97,149.29,144.18,1624.0,612.0,773.0,3009.0,151.0,159.0,31.0,296.0,50.0,743.0,837.0,1473.0,2085.0,181.0,421.0,1163.0,987.0,371.0,367.0,1634.0,445.0,157.0,47.54,55.14,43.32,65.0,46.0,40.0,3110.89,2236.0,2299.92,172.0,22.95,33.13,33.15,135.8,138.89,136.44
CHI,2022,CHI,CHI,Team Level,4on5,59,0.12,0.13,0.15,15507.0,40.74,3.9,2.07,5.75,1.16,13.06,28.07,3.83,3.9,3.83,51.0,3.0,8.0,62.0,6.0,0.0,0.0,3.0,0.0,6.0,39.0,45.0,48.0,4.0,8.0,148.0,54.0,53.0,27.0,40.0,7.0,7.0,1.0,1.01,1.89,2.0,3.0,1.0,62.0,54.0,54.0,25.0,0.48,0.0,0.0,4.38,4.38,4.31,229.55,29.89,20.99,48.35,7.46,134.32,71.99,28.2,29.89,28.2,235.0,78.0,108.0,421.0,38.0,25.0,3.0,44.0,4.0,107.0,95.0,197.0,275.0,11.0,22.0,139.0,15.0,7.0,26.0,216.0,61.0,36.0,5.42,7.4,17.07,8.0,13.0,17.0,421.0,313.0,313.0,5.0,5.42,6.41,7.25,28.07,28.07,26.87
CHI,2022,CHI,CHI,Team Level,5on4,59,0.82,0.83,0.82,16415.0,225.37,27.82,19.8,48.19,7.26,135.53,72.4,26.37,27.82,26.37,230.0,81.0,98.0,409.0,27.0,21.0,5.0,42.0,5.0,110.0,106.0,203.0,284.0,15.0,32.0,180.0,17.0,14.0,55.0,223.0,51.0,37.0,6.31,6.3,15.2,5.0,4.0,18.0,409.0,311.0,311.0,4.0,5.13,4.37,4.37,28.57,28.57,27.35,51.59,6.25,2.74,7.35,1.59,16.05,35.02,6.2,6.25,6.2,47.0,22.0,14.0,83.0,5.0,3.0,1.0,6.0,0.0,8.0,47.0,42.0,64.0,7.0,14.0,100.0,37.0,44.0,16.0,43.0,17.0,9.0,1.32,2.44,2.49,0.0,3.0,2.0,83.0,69.0,69.0,16.0,0.63,0.77,0.77,6.1,6.1,6.09
LAK,2022,LAK,LAK,Team Level,other,61,0.46,0.46,0.46,8456.0,109.54,20.75,7.37,19.22,3.52,54.17,45.04,19.52,20.75,19.52,109.0,42.0,45.0,196.0,22.0,7.0,0.0,13.0,5.0,45.0,59.0,87.0,129.0,6.0,12.0,105.0,28.0,11.0,18.0,79.0,48.0,24.0,3.15,5.96,11.64,2.0,8.0,12.0,196.0,151.0,151.0,11.0,2.06,2.54,2.54,20.21,20.21,19.44,128.74,24.41,9.82,22.43,4.26,70.98,43.11,22.7,24.41,22.7,123.0,52.0,52.0,227.0,27.0,11.0,1.0,24.0,6.0,58.0,49.0,96.0,148.0,5.0,12.0,108.0,31.0,23.0,14.0,85.0,60.0,30.0,3.73,7.4,13.28,6.0,8.0,13.0,227.0,175.0,175.0,5.0,2.79,2.96,2.96,24.24,24.24,23.14
LAK,2022,LAK,LAK,Team Level,all,61,0.52,0.51,0.52,222860.0,1970.19,193.71,137.19,452.51,64.65,1086.2,785.81,185.81,194.58,186.64,1962.0,759.0,906.0,3627.0,200.0,168.0,28.0,419.0,72.0,910.0,952.0,1762.0,2521.0,240.0,512.0,1806.0,1305.0,308.0,475.0,1938.0,584.0,199.0,56.03,71.41,66.27,56.0,76.0,68.0,3646.5,2721.0,2741.06,322.0,30.35,36.54,36.59,187.4,188.16,183.58,1797.2,182.3,126.35,405.82,58.33,989.03,708.18,173.75,182.16,173.66,1731.0,739.0,988.0,3458.0,205.0,155.0,22.0,383.0,61.0,816.0,850.0,1526.0,2265.0,234.0,503.0,1621.0,1689.0,367.0,421.0,1747.0,546.0,177.0,52.71,67.62,61.98,77.0,71.0,57.0,3451.39,2470.0,2465.31,269.0,28.08,34.8,34.8,175.58,175.83,170.95
LAK,2022,LAK,LAK,Team Level,5on5,61,0.52,0.52,0.53,177705.0,1531.28,132.49,100.89,368.55,50.13,845.65,621.3,127.52,133.36,128.35,1520.0,599.0,714.0,2833.0,123.0,133.0,25.0,341.0,54.0,714.0,754.0,1397.0,1996.0,206.0,441.0,1356.0,1201.0,265.0,390.0,1563.0,428.0,128.0,45.31,51.77,35.42,42.0,51.0,30.0,2852.5,2119.0,2139.06,273.0,20.82,28.62,28.67,124.65,125.4,122.99,1360.59,121.73,91.65,321.86,44.14,740.95,548.67,116.29,121.59,116.2,1291.0,578.0,775.0,2644.0,129.0,116.0,13.0,307.0,43.0,604.0,670.0,1162.0,1740.0,206.0,442.0,1187.0,1570.0,307.0,334.0,1357.0,403.0,109.0,40.89,50.84,29.99,60.0,49.0,20.0,2637.39,1869.0,1864.31,221.0,19.0,24.09,24.53,116.18,116.43,113.89
LAK,2022,LAK,LAK,Team Level,4on5,61,0.13,0.1,0.13,18626.0,40.82,4.67,2.12,5.5,1.27,12.63,27.81,4.64,4.67,4.64,49.0,5.0,5.0,59.0,5.0,1.0,1.0,3.0,0.0,8.0,37.0,44.0,49.0,9.0,18.0,142.0,53.0,27.0,34.0,36.0,10.0,8.0,1.06,1.26,2.34,2.0,1.0,2.0,59.0,54.0,54.0,34.0,0.49,0.47,0.47,4.68,4.68,4.66,265.96,32.38,22.95,55.52,8.64,163.98,85.53,31.03,32.38,31.03,269.0,100.0,150.0,519.0,44.0,27.0,8.0,49.0,11.0,140.0,98.0,225.0,325.0,18.0,36.0,177.0,19.0,8.0,30.0,263.0,73.0,33.0,6.73,8.25,17.41,10.0,11.0,23.0,519.0,369.0,369.0,3.0,5.85,7.45,7.01,31.22,31.22,30.0
LAK,2022,LAK,LAK,Team Level,5on4,61,0.9,0.89,0.87,18073.0,288.55,35.8,26.81,59.23,9.73,173.76,91.66,34.13,35.8,34.13,284.0,113.0,142.0,539.0,50.0,27.0,2.0,62.0,13.0,143.0,102.0,234.0,347.0,19.0,41.0,203.0,23.0,5.0,33.0,260.0,98.0,39.0,6.52,12.42,16.87,10.0,16.0,24.0,539.0,397.0,397.0,4.0,6.98,4.9,4.9,37.87,37.87,36.5,41.92,3.79,1.94,6.0,1.28,13.11,30.86,3.74,3.79,3.74,48.0,9.0,11.0,68.0,5.0,1.0,0.0,3.0,1.0,14.0,33.0,43.0,52.0,5.0,13.0,149.0,69.0,29.0,43.0,42.0,10.0,5.0,1.36,1.13,1.3,1.0,3.0,1.0,68.0,57.0,57.0,40.0,0.45,0.31,0.31,3.94,3.94,3.92
